id,title,status,date,purpose,method,country_code,description,organizations,target,link,enforcement_details,revision
5eac6d6e04a448cffe6148ef,Israel uses AI to flag high-risk COVID patients,launched,,Medical diagnostics,"AI, Big data, Risk scoring",IL,"One of Israel’s largest health maintenance organizations is using artificial intelligence to help identify which of the 2.4 million people it covers are most at risk of severe covid-19 complications. To make its predictions, the system draws on a range of medical data, including a person’s age, BMI, health conditions such as heart disease or diabetes, and previous history of hospital admissions. The AI can trawl through a vast number of records and spot at-risk individuals who might have been missed otherwise. ","Maccabi Healthcare Services, Medial EarlySign",medical_institutions,https://www.technologyreview.com/2020/04/24/1000543/israel-ai-prediction-medical-testing-data-high-risk-covid-19-patients/,,8
5eac6d6e04a448cffe6148f0,The Shield: Israeli contact tracing app,launched,2020-03-22,Contact tracing,"App, Bluetooth, GPS, Smartphone, Wifi",IL,The app was first launched using GPS but a new upgrade now means it also uses Bluetooth to carry out contact tracing.,"GlobeKeeper, Health Ministry",general_public,https://www.reuters.com/article/us-health-coronavirus-israel-apps/1-5-million-israelis-using-voluntary-coronavirus-monitoring-app-idUSKBN21J5L5,Voluntary,6
5eac6d6e04a448cffe6148f1,TrackVirus: Israeli contact tracing app,launched,,Contact tracing,"App, GPS, Smartphone",IL,Israeli contact tracing app that also visualises health ministry data to map infections. The information the developers stress is anonymized and is not uploaded to the cloud and the app does not prompt for any form of identification though users do grant geolocation permissions for their smartphones.,"Ori Fadlon, PandaOS",general_public,https://nocamels.com/2020/03/israeli-app-alert-coronavirus-exposure/,,2
5eac6d6e04a448cffe6148f2,Indian factory to introduce social distancing AI,announced,,Social distancing enforcement,AI,IN,"Samarth Diamond plans to deploy AI from Glimpse Analytics as soon as its polishing factory re-opens in Gujarat, India",Glimpse Analytics,corporate,https://uk.reuters.com/article/uk-health-coronavirus-surveillance-tech/companies-bet-on-ai-cameras-to-track-social-distancing-limit-liability-idUKKCN22916F,,1
5eac6d6e04a448cffe6148f3,COVID Alerting Tracking System: Indian state uses telecom location data to enforce quarantine,launched,,Quarantine enforcement,Telecom data,IN,"Andhra Pradesh is tracking people who have received quarantine orders, using telecoms data, alerting district authorities if they travel 100-metres from the location where they are supposed to be isolating.",State Disaster Management Authority,general_public,https://www.businesstoday.in/latest/trends/coronavirus-crisis-andhra-pradesh-govt-tracking-mobile-phones-of-home-quarantined-people/story/399692.html,,6
5eac6d6e04a448cffe6148f4,Notorious NSO Group developing covid tracker app called Fleming,announced,,"Contact tracing, Epidemiology, Resource management and policy response","App, Smartphone",IL,"Around 12 countries are testing NSO technology which ""analyzes data"" to map people’s movements to identify who they’ve come in contact with. The software takes two weeks of mobile-phone tracking information from the infected person then matches with location data collected by national mobile phone companies that pinpoints citizens who were in the patient’s vicinity for more than 15 minutes and are vulnerable to contagion.

Fleming features an advanced mapping tool that identifies the spread of the virus in real time, empowering health and government decision-makers. By utilising the Fleming system, these decision-makers can more effectively deploy resources, including critical supplies and medical personnel, and implement public health protocols that help contain the spread. In addition, Fleming is helping officials in developing strategies to reopen economies in regions where the pandemic no longer poses a serious health threat. The technology anonymises all data inputted by the operator, which adds an additional layer of privacy and security. Fleming is already being operated by countries around the world as health officials work to stop the spread of COVID-19 and keep citizens safe and healthy.

How long has it been in deployment and where?
Immediately upon the outbreak of the COVID-19 pandemic, NSO – which specialises in developing life-saving technology solutions – recruited the best minds internally, alongside epidemiologists and other experts. NSO was able to quickly develop an innovative system to help eradicate the spread of the pandemic. Fleming was developed in Israel, NSO’s main development centre.",NSO Group,general_public,https://www.bloomberg.com/news/articles/2020-03-17/surveillance-company-nso-supplying-data-analysis-to-stop-virus,,3
5eac6d6e04a448cffe6148f5,Aarogya Setu: India launches COVID-19 tracker app,launched,2020-04-02,"Contact tracing, Medical diagnostics","App, Bluetooth, GPS, Smartphone",IN,"Using a phone's Bluetooth and location data, Aarogya Setu lets users know if they have been near a person with Covid-19 by scanning a database of known cases of infection. A new feature, introduced in August, allows employers to check their staff’s health status.",,general_public,https://www.bbc.com/news/world-asia-india-52659520,,8
5eac6d6e04a448cffe6148f6,Indian state of Maharashtra quarantine app,launched,2020-04-16,Quarantine enforcement,"App, GPS, Geo fencing, Selfies, Smartphone",IN,"A platform for quarantine tracking. The app uses GPS data collected from people’s smartphones to create a virtual perimeter around their homes. If users move beyond their permitted radius, the app notifies local authorities.",Apollo 24x7,general_public,https://twitter.com/MSInSociety/status/1245369179999354881,"If users move beyond their permitted radius, the app notifies local authorities.",4
5eac6d6e04a448cffe6148f7,AC19: Google removes Iran's official COVID-19 detection app from the Play Store.,inactive,2020-03-01,"Contact tracing, Self-diagnosis","App, GPS, Smartphone, Symptom checker",IR,"After it's release, Iran's Health Ministry sent a mass SMS message to all Iranians urging them to install the app to check potential COVID-19 symptoms. The app would let users register using their phone number and then ask Iranians to answer a series of questions related to coronavirus symptoms. The idea was to let Iranians determine if they had severe symptoms, in order to prevent citizens from needlessly flooding local hospitals.

According to ZDNet: A Google spokesperson did not respond to a request for comment on the reasons the app was removed; however, sources familiar with Play Store policies told ZDNet the app was most likely taken down because of its misleading claims -- namely that it could detect COVID-19 infections, something that is impossible through an app.",,general_public,https://www.vice.com/en_us/article/epgkmz/iran-launched-an-app-that-claimed-to-diagnose-coronavirus-instead-it-collected-location-data-on-millions-of-people,,8
5eac6d6e04a448cffe6148f8,Lombardy's AllertaLOM app,launched,2020-04-01,Self-diagnosis,"App, Smartphone",IT,This is an information app that includes a function called “CercaCovid survey”.,Regione Lombardia,general_public,https://twitter.com/newsfromitaly/status/1245451023998689284,Voluntary,3
