title,summary,country,description,geographical_scope,start_date.specificity,start_date.date,start_date.note,end_date.specificity,end_date.date,end_date.note,software_used,involved_companies,enforcement_details,data_storage_details,link,surveillance_types.0.main_type,surveillance_types.0.sub_type,surveillance_types.1.main_type,surveillance_types.1.sub_type,surveillance_types.2.main_type,surveillance_types.2.sub_type,surveillance_types.3.main_type,surveillance_types.3.sub_type,surveillance_types.4.main_type,surveillance_types.4.sub_type,legal_base,legislation.description,legislation.pass_date.specificity,legislation.pass_date.date,legislation.pass_date.note,legislation.end_date.specificity,legislation.end_date.date,legislation.end_date.note,legislation.link,legislation.notes,notes
Notorious NSO Group deveoping covid tracker app,,IL,"About a dozen countries are testing the NSO technology which nalyzes huge volumes of data to map people’s movements to identify who they’ve come in contact with, which can then be used to stop the spread of infection, according to a person familiar with the matter.",,,,,,,,"The software takes two weeks of mobile-phone tracking information from the infected person -- the incubation time of the virus -- then matches with location data collected by national mobile phone companies that pinpoints citizens who were in the patient’s vicinity for more than 15 minutes and are vulnerable to contagion, the person said.","[""NSO Group""]",,,https://www.bloomberg.com/news/articles/2020-03-17/surveillance-company-nso-supplying-data-analysis-to-stop-virus,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
Indian state of Maharashtra quarantine app,,IN,"A platform for quarantine tracking and possibly contact tracing. The app uses GPS data collected from people’s smartphones to create a virtual perimeter around their homes. If users move beyond their permitted radius, the app notifies local authorities.",Regional,month,2020-04-16T00:00:00.000Z,,,,,"GPS location tracking, geo fencing, ""selfie attendance","[""Apollo 24x7""]","If users move beyond their permitted radius, the app notifies local authorities.",,https://twitter.com/MSInSociety/status/1245369179999354881,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,Only citizens advised by the health officials will be allowed to use the MahaKavach app
India launches COVID-19 tracker app,,IN,"India's contact tracing app, Aarogya Setu, was downloaded 50 million times in the first 13 days it was available. Contact tracing app that will also act as a database of all the relevant public information about the novel Coronavirus.",National,,,,,,,The app uses Bluetooth as well as GPS trails,,,Lack of clarity on who can access the data and how long it will stay on government databases.,https://www.techradar.com/news/indian-government-launches-aarogya-setu-app-to-crack-coronavirus-infections,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,"There is no legal framework that governs the Aarogya Setu app, beyond the privacy policy and the terms of use.",,,,,,,,,
Italy tests contact-tracing app to speed lockdown exit,,IT,Italy plans to use a smartphone app called Immuni developed by tech start-up Bending Spoons to track people who test positive for the new coronavirus as part of efforts to lift its nationwide lockdown.,National,,,Should be ready to launch Mid-May,,,,"The Bending Spoons application, initially named Immuni, uses Bluetooth technology to record when users are in close proximity with each other, people with knowledge of the matter said.","[""Bending Spoons""]",,"No personal information - such as names, addresses, phone numbers or device location - will be included in the data.",https://www.reuters.com/article/us-health-coronavirus-italy-technology/italy-tests-contact-tracing-app-to-speed-lockdown-exit-idUSKBN21Z0VJ,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
Aggregated Location Tracking in Italy,,IT,"In Italy, mobile carriers Telecom Italia, Vodafone and WindTre have offered authorities aggregated data to monitor people’s movements.",National,,,,,,,,,,,https://www.reuters.com/article/us-health-coronavirus-europe-telecoms/european-mobile-operators-share-data-for-coronavirus-fight-idUSKBN2152C2,"Location surveillance (mapping, contact tracing etc)","[""Use of aggregated location data (data of groups in stead of individuals)""]",,,,,,,,,,,,,,,,,,,
Kenya Phone Tracking,,KE,"The authorities in Kenya have been tracking mobile phones of people suspected to have Covid-19 as a way of enforcing a 14-day mandatory isolation period, government spokesman Cyrus Oguna told the BBC.",National,,,,,,,Unclear,,,Unclear,https://www.bbc.co.uk/news/world-africa-52214740,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
Lombardy's AllertaLOM app,,IT,"The app is used by local virologists, epidemiologists to draw a map of the risk of infection and also for statistical purposes. An anonymous questionnaire must be filled out"" asking for gender, age and if there have been any symptoms and contacts with positives. The questionnaire can be updated every day",Regional,,,,,,,,,Voluntary,,https://www.lastampa.it/cronaca/2020/03/31/news/coronavirus-appello-della-lombardia-ai-cittadini-scaricate-l-app-per-tracciare-i-contagi-1.38661530,"Biometric surveillance (monitoring faces, health, body functions, etc)","[""Health Monitoring (for instance temperature monitoring)""]",,,,,,,,,,,,,,,,,,,
Kuwait enforcement drones,,KW,"Kuwait, which has largely locked down the country, used drones to broadcast messages in multiple languages urging people to return to their homes.",,,,,,,,,,,,https://www.france24.com/en/20200405-jordan-becomes-latest-mideast-country-to-deploy-drones-in-virus-response,Drone surveillance,"[""Lockdown enforcement""]",,,,,,,,,,,,,,,,,,,
Indian factory to introduce social distancing AI,,IN,"Samarth Diamond plans to deploy AI from Glimpse Analytics as soon as its polishing factory re-opens in Gujarat, India",Regional,,,,,,,,"[""Glimpse Analytics""]",,,https://uk.reuters.com/article/uk-health-coronavirus-surveillance-tech/companies-bet-on-ai-cameras-to-track-social-distancing-limit-liability-idUKKCN22916F,"Biometric surveillance (monitoring faces, health, body functions, etc)","[""social distance AI""]",,,,,,,,,,,,,,,,,,,
Indian state uses telecom location data to enforce lockdown,,IN,"The Indian state of Andhra Pradesh has joined forces with service providers to track people who have received quarantine orders. If a quarantined person moves more than 100 metres from their home and ignores reminders to go back, a report is sent to state authorities.The state government has taken the base location as the actual location of a person's residence. If any of these persons travel beyond a 100-metre radius from the location, the district authorities get an alert and the required action is taken.",Regional,,,,,,,,,,,https://www.businesstoday.in/latest/trends/coronavirus-crisis-andhra-pradesh-govt-tracking-mobile-phones-of-home-quarantined-people/story/399692.html,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
